检查,jiǎnchá,"to check, to examine"
别人,biéren,other people
关系,guānxì,relationship
如果,rúguǒ,"if, in case"
鼻子,bízi,nose
头发,tóufa,hair
可爱,kě'ài,"lovely, adorable"
认为,rènwéi,"to think, to believe"
刷牙,shuā yá,to brush the teeth
米,mǐ,metre
邻居,línjū,neighbour
饱,bǎo,"full, havingeaten one's fill"
口,kǒu,mouth
渴,kě,thirsty
爱好,àihào,"hobby, interest"
办法,bànfǎ,"way, approach"
为了,wèile,for the sake of
一共,yígòng,in total
决定,juédìng,to decide
选择,xuǎnzé,to choose
必须,bìxū,must
根据,gēnjù,"according to,based on"
动物,dòngwù,animal
只,zhī,measure word used for animals and body parts
种,zhǒng,"kind, type"
段,duàn,measure word used for sections or periods
同意,tóngyì,to agree
相信,xiāngxìn,to believe
奇怪,qíguài,"strange, odd"
地,de,particle: adverb + de + verb
国家,guójiā,"country, nation"
有名,yǒumíng,famous
机会,jīhuì,opportunity
万,wàn,"10,000"
关于,guānyú,"about, regarding"
马,mǎ,horse
鸟,niǎo,bird
耳朵,ěrduo,ear
脸,liǎn,face
蓝,lán,blue
哭,kū,to cry
短,duǎn,short
位,wèi,respectful measure word for people
经过,jīngguò,to pass
碗,wǎn,bowl
照相机,zhàoxiàngjī,camera
解决,jiějué,to solve
关心,guānxīn,"to care for, to be interested in"
被,bèi,preposition for passive voice
成绩,chéngjì,grade (academic performance)
分,fēn,to distinguish
东,dōng,east
多么,duōme,"very, to a great extent"
难过,nánguò,sad
北方,běifāng,Northern direction
表示,biǎoshì,"to express, to indicate"
表演,biǎoyǎn,to perform
才,cái,just
出现,chūxiàn,to appear
厨房,chúfáng,kitchen
春,chūn,spring
词语,cíyǔ,word
低,dī,low
冬,dōng,winter
而且,érqiě,furthermore
敢,gǎn,"to dare, to have the courage to"
果汁,guǒzhī,fruit juice
还,hái,"and, yet"
河,hé,river
花园,huāyuán,garden
黄,huáng,yellow
极,jí,extreme
角,jiǎo,corner
举行,jǔxíng,to hold a meeting/ceremony
面条,miàntiáo,noodle
葡萄,pútao,grape
普通话,pǔtōnghuà,Mandarin
秋,qiū,autumn
虽然,suīrán,although
糖,táng,sugar
相同,xiāngtóng,same
鞋,xié,shoe
信,xìn,"letter, to belive"
兴趣,xìngqù,interest
以后,yǐhòu,afterwards
以为,yǐwéi,to be under the (false) impression that...
云,yún,cloud
长,cháng,long
祝,zhù,"to wish (someone good health, etc)"
字典,zìdiǎn,dictionary
作用,zuòyòng,effect
