가,Ga
엄,Eom
업,Eop
에,E
여,Yeo
역,Yeok
연,Yeon
열,Yeol
염,Yeom
엽,Yeop
영,Yeong
예,Ye
오,O
옥,Ok
온,On
올,Ol
옴,Om
옹,Ong
와,Wa
완,Wan
왈,Wal
왕,Wang
왜,Wae
외,Oe
왼,Oen
요,Yo
욕,Yok
용,Yong
우,U
욱,Uk
운,Un
울,Ul
움,Um
웅,Ung
워,Wo
원,Won
월,Wol
위,Wi
유,Yu
육,Yuk
윤,Yun
율,Yul
융,Yong
윶,Yut
으,Eu
은,Eun
을,Eul
음,Eum
읍,Eup
응,Eung
의,Ui
이,I
익,Ik
인,In
일,Il
임,Im
입,Ip
잉,Ing
자,Ja
작,Jak
잔,Jan
잠,Jam
잡,Jap
장,Jang
재,Jae
쟁,Jaeng
저,Jeo
적,Jeok
전,Jeon
절,Jeol
점,Jeom
정,Jeong
제,Je
조,Jo
족,Jok
존,Jon
졸,Jol
종,Jong
좌,Jwa
죄,Joe
쥐,Jwi
즈,Jeu
즉,Jeuk
즐,Jeul
즘,Jeum
즙,Jeup
증,Jeung
지,Ji
직,Jik
진,Jin
질,Jil
짐,Jim
집,Jip
징,Jing
싸,Jja
째,Jjae
쪼,Jjo
찌,Jji 
